t=,1221185, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.049, mSel=,+0.043, b=,0.187, m=,0.022, ca=,0.0029, cr=,0.0514,  actvprof=,1.582306, best_B_id=,B04, best_B_prof=,1.582306, best_B_strat=, mBuy=,-0.049, mSel=,+0.043, b=,0.187, m=,0.022, ca=,0.0029, cr=,0.0514, 
t=,1252497, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.062, mSel=,+0.018, b=,0.241, m=,0.000, ca=,0.0012, cr=,0.0527,  actvprof=,1.581202, best_B_id=,B04, best_B_prof=,1.581202, best_B_strat=, mBuy=,-0.062, mSel=,+0.018, b=,0.241, m=,0.000, ca=,0.0012, cr=,0.0527, 
t=,1283810, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.062, mSel=,+0.061, b=,0.266, m=,0.018, ca=,0.0006, cr=,0.0561,  actvprof=,1.680349, best_B_id=,B04, best_B_prof=,1.680349, best_B_strat=, mBuy=,-0.062, mSel=,+0.061, b=,0.266, m=,0.018, ca=,0.0006, cr=,0.0561, 
t=,1315123, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.061, mSel=,+0.002, b=,0.272, m=,0.029, ca=,0.0009, cr=,0.0614,  actvprof=,1.699601, best_B_id=,B04, best_B_prof=,1.699601, best_B_strat=, mBuy=,-0.061, mSel=,+0.002, b=,0.272, m=,0.029, ca=,0.0009, cr=,0.0614, 
t=,1346435, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.061, mSel=,+0.002, b=,0.272, m=,0.029, ca=,0.0009, cr=,0.0614,  actvprof=,1.691327, best_B_id=,B04, best_B_prof=,1.691327, best_B_strat=, mBuy=,-0.061, mSel=,+0.002, b=,0.272, m=,0.029, ca=,0.0009, cr=,0.0614, 
t=,1377747, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.061, mSel=,+0.002, b=,0.272, m=,0.029, ca=,0.0009, cr=,0.0614,  actvprof=,1.695893, best_B_id=,B04, best_B_prof=,1.695893, best_B_strat=, mBuy=,-0.061, mSel=,+0.002, b=,0.272, m=,0.029, ca=,0.0009, cr=,0.0614, 
t=,1409059, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.075, mSel=,+0.000, b=,0.291, m=,0.023, ca=,0.0045, cr=,0.0601,  actvprof=,1.763285, best_B_id=,B04, best_B_prof=,1.763285, best_B_strat=, mBuy=,-0.075, mSel=,+0.000, b=,0.291, m=,0.023, ca=,0.0045, cr=,0.0601, 
t=,1440371, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.046, mSel=,+0.016, b=,0.301, m=,0.010, ca=,0.0027, cr=,0.0632,  actvprof=,1.742803, best_B_id=,B04, best_B_prof=,1.742803, best_B_strat=, mBuy=,-0.046, mSel=,+0.016, b=,0.301, m=,0.010, ca=,0.0027, cr=,0.0632, 
t=,1471684, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.034, b=,0.298, m=,0.052, ca=,0.0052, cr=,0.0644,  actvprof=,1.748279, best_B_id=,B04, best_B_prof=,1.748279, best_B_strat=, mBuy=,-0.039, mSel=,+0.034, b=,0.298, m=,0.052, ca=,0.0052, cr=,0.0644, 
t=,1502996, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.039, mSel=,+0.034, b=,0.298, m=,0.052, ca=,0.0052, cr=,0.0644,  actvprof=,1.696876, best_B_id=,B04, best_B_prof=,1.696876, best_B_strat=, mBuy=,-0.039, mSel=,+0.034, b=,0.298, m=,0.052, ca=,0.0052, cr=,0.0644, 
t=,1534308, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.004, mSel=,+0.042, b=,0.320, m=,0.057, ca=,0.0048, cr=,0.0664,  actvprof=,1.717991, best_B_id=,B04, best_B_prof=,1.717991, best_B_strat=, mBuy=,-0.004, mSel=,+0.042, b=,0.320, m=,0.057, ca=,0.0048, cr=,0.0664, 
t=,1565622, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.045, b=,0.337, m=,0.063, ca=,0.0037, cr=,0.0656,  actvprof=,1.697417, best_B_id=,B04, best_B_prof=,1.697417, best_B_strat=, mBuy=,+0.000, mSel=,+0.045, b=,0.337, m=,0.063, ca=,0.0037, cr=,0.0656, 
t=,1596934, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.024, b=,0.313, m=,0.039, ca=,0.0027, cr=,0.0651,  actvprof=,1.694679, best_B_id=,B04, best_B_prof=,1.694679, best_B_strat=, mBuy=,-0.021, mSel=,+0.024, b=,0.313, m=,0.039, ca=,0.0027, cr=,0.0651, 
t=,1628246, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.021, mSel=,+0.024, b=,0.313, m=,0.039, ca=,0.0027, cr=,0.0651,  actvprof=,1.755316, best_B_id=,B04, best_B_prof=,1.755316, best_B_strat=, mBuy=,-0.021, mSel=,+0.024, b=,0.313, m=,0.039, ca=,0.0027, cr=,0.0651, 
