t=,1400118, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.001, mSel=,+0.014, b=,0.341, m=,0.010, ca=,0.0440, cr=,0.0661,  actvprof=,1.755997, best_B_id=,B04, best_B_prof=,1.755997, best_B_strat=, mBuy=,-0.001, mSel=,+0.014, b=,0.341, m=,0.010, ca=,0.0440, cr=,0.0661, 
t=,1436019, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.001, mSel=,+0.014, b=,0.341, m=,0.010, ca=,0.0440, cr=,0.0661,  actvprof=,1.816256, best_B_id=,B04, best_B_prof=,1.816256, best_B_strat=, mBuy=,-0.001, mSel=,+0.014, b=,0.341, m=,0.010, ca=,0.0440, cr=,0.0661, 
t=,1471920, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.001, mSel=,+0.014, b=,0.341, m=,0.010, ca=,0.0440, cr=,0.0661,  actvprof=,1.765257, best_B_id=,B04, best_B_prof=,1.765257, best_B_strat=, mBuy=,-0.001, mSel=,+0.014, b=,0.341, m=,0.010, ca=,0.0440, cr=,0.0661, 
t=,1507820, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.000, b=,0.336, m=,0.022, ca=,0.0467, cr=,0.0662,  actvprof=,1.764047, best_B_id=,B04, best_B_prof=,1.764047, best_B_strat=, mBuy=,+0.000, mSel=,+0.000, b=,0.336, m=,0.022, ca=,0.0467, cr=,0.0662, 
t=,1543720, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.002, mSel=,+0.033, b=,0.358, m=,0.019, ca=,0.0478, cr=,0.0637,  actvprof=,1.785062, best_B_id=,B04, best_B_prof=,1.785062, best_B_strat=, mBuy=,-0.002, mSel=,+0.033, b=,0.358, m=,0.019, ca=,0.0478, cr=,0.0637, 
t=,1579620, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.017, b=,0.371, m=,0.061, ca=,0.0488, cr=,0.0636,  actvprof=,1.811200, best_B_id=,B04, best_B_prof=,1.811200, best_B_strat=, mBuy=,+0.000, mSel=,+0.017, b=,0.371, m=,0.061, ca=,0.0488, cr=,0.0636, 
t=,1615520, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.017, b=,0.371, m=,0.061, ca=,0.0488, cr=,0.0636,  actvprof=,1.748510, best_B_id=,B04, best_B_prof=,1.748510, best_B_strat=, mBuy=,+0.000, mSel=,+0.017, b=,0.371, m=,0.061, ca=,0.0488, cr=,0.0636, 
t=,1651421, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.032, mSel=,+0.012, b=,0.347, m=,0.091, ca=,0.0441, cr=,0.0615,  actvprof=,1.770313, best_B_id=,B04, best_B_prof=,1.770313, best_B_strat=, mBuy=,-0.032, mSel=,+0.012, b=,0.347, m=,0.091, ca=,0.0441, cr=,0.0615, 
t=,1687321, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.013, mSel=,+0.002, b=,0.371, m=,0.047, ca=,0.0467, cr=,0.0637,  actvprof=,1.794930, best_B_id=,B04, best_B_prof=,1.794930, best_B_strat=, mBuy=,-0.013, mSel=,+0.002, b=,0.371, m=,0.047, ca=,0.0467, cr=,0.0637, 
t=,1723221, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.006, mSel=,+0.005, b=,0.371, m=,0.026, ca=,0.0452, cr=,0.0682,  actvprof=,1.748306, best_B_id=,B04, best_B_prof=,1.748306, best_B_strat=, mBuy=,-0.006, mSel=,+0.005, b=,0.371, m=,0.026, ca=,0.0452, cr=,0.0682, 
t=,1759121, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.008, b=,0.398, m=,0.000, ca=,0.0473, cr=,0.0686,  actvprof=,1.802630, best_B_id=,B04, best_B_prof=,1.802630, best_B_strat=, mBuy=,+0.000, mSel=,+0.008, b=,0.398, m=,0.000, ca=,0.0473, cr=,0.0686, 
t=,1795022, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.008, b=,0.398, m=,0.000, ca=,0.0473, cr=,0.0686,  actvprof=,1.850874, best_B_id=,B04, best_B_prof=,1.850874, best_B_strat=, mBuy=,+0.000, mSel=,+0.008, b=,0.398, m=,0.000, ca=,0.0473, cr=,0.0686, 
t=,1830922, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.005, mSel=,+0.008, b=,0.402, m=,0.003, ca=,0.0482, cr=,0.0722,  actvprof=,1.874965, best_B_id=,B04, best_B_prof=,1.874965, best_B_strat=, mBuy=,-0.005, mSel=,+0.008, b=,0.402, m=,0.003, ca=,0.0482, cr=,0.0722, 
t=,1866822, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.025, mSel=,+0.000, b=,0.437, m=,0.022, ca=,0.0438, cr=,0.0747,  actvprof=,1.772572, best_B_id=,B04, best_B_prof=,1.772572, best_B_strat=, mBuy=,-0.025, mSel=,+0.000, b=,0.437, m=,0.022, ca=,0.0438, cr=,0.0747, 
t=,1902723, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.001, mSel=,+0.033, b=,0.468, m=,0.000, ca=,0.0433, cr=,0.0747,  actvprof=,1.896914, best_B_id=,B04, best_B_prof=,1.896914, best_B_strat=, mBuy=,-0.001, mSel=,+0.033, b=,0.468, m=,0.000, ca=,0.0433, cr=,0.0747, 
t=,1938623, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.024, b=,0.506, m=,0.026, ca=,0.0441, cr=,0.0746,  actvprof=,1.859034, best_B_id=,B04, best_B_prof=,1.859034, best_B_strat=, mBuy=,+0.000, mSel=,+0.024, b=,0.506, m=,0.026, ca=,0.0441, cr=,0.0746, 
t=,1974523, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.003, mSel=,+0.033, b=,0.510, m=,0.043, ca=,0.0428, cr=,0.0755,  actvprof=,1.854548, best_B_id=,B04, best_B_prof=,1.854548, best_B_strat=, mBuy=,-0.003, mSel=,+0.033, b=,0.510, m=,0.043, ca=,0.0428, cr=,0.0755, 
t=,2010423, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.012, mSel=,+0.000, b=,0.486, m=,0.063, ca=,0.0416, cr=,0.0774,  actvprof=,1.777753, best_B_id=,B04, best_B_prof=,1.777753, best_B_strat=, mBuy=,-0.012, mSel=,+0.000, b=,0.486, m=,0.063, ca=,0.0416, cr=,0.0774, 
